Template,Building Type,Space Type,,Exterior Wall Standards Construction Type,Exterior Wall Building Category,Exterior Floor Standards Construction Type,Exterior Floor Building Category,Exterior Roof Standards Construction Type,Exterior Roof Building Category,Interior Walls,Interior Floors,Interior Ceilings,Ground Contact Wall Standards Construction Type,Ground Contact Wall Building Category,Ground Contact Floor Standards Construction Type,Ground Contact Floor Building Category,Ground Contact Ceiling Standards Construction Type,Ground Contact Ceiling Building Category,Exterior Fixed Window Standards Construction Type,Exterior Fixed Window Building Category,Exterior Operable Window Standards Construction Type,Exterior Operable Window Building Category,Exterior Door Standards Construction Type,Exterior Door Building Category,Exterior Glass Doors,Exterior Overhead Door Standards Construction Type,Exterior Overhead Door Building Category,Exterior Skylight Standards Construction Type,Exterior Skylight Building Category,Tubular Daylight Domes,Tubular Daylight Diffusers,Interior Fixed Windows,Interior Operable Windows,Interior Doors,Space Shading,Building Shading,Site Shading,Interior Partitions
90.1-2007,Warehouse,Office,No,Metal Building,Nonresidential,Mass,Nonresidential,Metal Building,Nonresidential,Typical Interior Wall,Typical Interior Floor,Typical Interior Ceiling,Mass,Nonresidential,Unheated,Semiheated,,Nonresidential,Metal framing (all other),Nonresidential,Metal framing (all other),Nonresidential,Swinging,Semiheated,,NonSwinging,Semiheated,Glass with Curb,Nonresidential,Typical Interior Window,Typical Interior Window,Typical Interior Window,Typical Interior Window,Typical Interior Door,,,,Typical Interior Partition
90.1-2007,Warehouse,Fine,No,Metal Building,Nonresidential,Mass,Nonresidential,Metal Building,Nonresidential,Typical Interior Wall,Typical Interior Floor,Typical Interior Ceiling,Mass,Nonresidential,Unheated,Semiheated,,Nonresidential,Metal framing (all other),Nonresidential,Metal framing (all other),Nonresidential,Swinging,Semiheated,,NonSwinging,Semiheated,Glass with Curb,Nonresidential,Typical Interior Window,Typical Interior Window,Typical Interior Window,Typical Interior Window,Typical Interior Door,,,,Typical Interior Partition
90.1-2007,Warehouse,Bulk,No,Metal Building,Semiheated,Mass,Nonresidential,Metal Building,Semiheated,Typical Interior Wall,Typical Interior Floor,Typical Interior Ceiling,Mass,Semiheated,Unheated,Semiheated,,Semiheated,Metal framing (all other),Nonresidential,Metal framing (all other),Nonresidential,Swinging,Semiheated,,NonSwinging,Semiheated,Glass with Curb,Nonresidential,Typical Interior Window,Typical Interior Window,Typical Interior Window,Typical Interior Window,Typical Interior Door,,,,Typical Interior Partition
90.1-2004,SmallOffice,,No,WoodFramed,Nonresidential,Mass,Residential,Attic and Other,Nonresidential,Typical Interior Wall,Typical Interior Floor,Typical Interior Ceiling,Mass,Nonresidential,Unheated,Nonresidential,,Nonresidential,Metal framing (all other),Nonresidential,Metal framing (all other),Nonresidential,Swinging,Nonresidential,,NonSwinging,Nonresidential,Glass with Curb,Nonresidential,Typical Interior Window,Typical Interior Window,Typical Interior Window,Typical Interior Window,Typical Interior Door,,,,Typical Interior Partition
90.1-2007,SmallOffice,,No,WoodFramed,Nonresidential,Mass,Residential,Attic and Other,Nonresidential,Typical Interior Wall,Typical Interior Floor,Typical Interior Ceiling,Mass,Nonresidential,Unheated,Nonresidential,,Nonresidential,Metal framing (all other),Nonresidential,Metal framing (all other),Nonresidential,Swinging,Nonresidential,,NonSwinging,Nonresidential,Glass with Curb,Nonresidential,Typical Interior Window,Typical Interior Window,Typical Interior Window,Typical Interior Window,Typical Interior Door,,,,Typical Interior Partition
90.1-2010,SmallOffice,,No,WoodFramed,Nonresidential,Mass,Residential,Attic and Other,Nonresidential,Typical Interior Wall,Typical Interior Floor,Typical Interior Ceiling,Mass,Nonresidential,Unheated,Nonresidential,,Nonresidential,Metal framing (all other),Nonresidential,Metal framing (all other),Nonresidential,Swinging,Nonresidential,,NonSwinging,Nonresidential,Glass with Curb,Nonresidential,Typical Interior Window,Typical Interior Window,Typical Interior Window,Typical Interior Window,Typical Interior Door,,,,Typical Interior Partition
90.1-2013,SmallOffice,,No,WoodFramed,Nonresidential,Mass,Residential,Attic and Other,Nonresidential,Typical Interior Wall,Typical Interior Floor,Typical Interior Ceiling,Mass,Nonresidential,Unheated,Nonresidential,,Nonresidential,Metal framing (all other),Nonresidential,Metal framing (all other),Nonresidential,Swinging,Nonresidential,,NonSwinging,Nonresidential,Glass with Curb,Nonresidential,Typical Interior Window,Typical Interior Window,Typical Interior Window,Typical Interior Window,Typical Interior Door,,,,Typical Interior Partition
90.1-2013,Outpatient,,No,SteelFramed,Nonresidential,Mass,Nonresidential,IEAD,Nonresidential,Typical Interior Wall,Typical Interior Floor,Typical Interior Ceiling,Mass,Nonresidential,Unheated,Nonresidential,,Nonresidential,Metal framing (all other),Nonresidential,Metal framing (all other),Nonresidential,Swinging,Nonresidential,,NonSwinging,Nonresidential,Glass with Curb,Nonresidential,Typical Interior Window,Typical Interior Window,Typical Interior Window,Typical Interior Window,Typical Interior Door,,,,Typical Interior Partition
90.1-2013,PrimarySchool,,No,SteelFramed,Nonresidential,Mass,Nonresidential,IEAD,Nonresidential,Typical Interior Wall,Typical Interior Floor,Typical Interior Ceiling,Mass,Nonresidential,Unheated,Nonresidential,,Nonresidential,Metal framing (all other),Nonresidential,Metal framing (all other),Nonresidential,Swinging,Nonresidential,,NonSwinging,Nonresidential,Glass with Curb,Nonresidential,Typical Interior Window,Typical Interior Window,Typical Interior Window,Typical Interior Window,Typical Interior Door,,,,Typical Interior Partition
90.1-2013,QuickServiceRestaurant,,No,WoodFramed,Nonresidential,Mass,Nonresidential,Attic and Other,Nonresidential,Typical Interior Wall,Typical Interior Floor,Typical Interior Ceiling,Mass,Nonresidential,Unheated,Nonresidential,,Nonresidential,Metal framing (all other),Nonresidential,Metal framing (all other),Nonresidential,Swinging,Nonresidential,,NonSwinging,Nonresidential,Glass with Curb,Nonresidential,Typical Interior Window,Typical Interior Window,Typical Interior Window,Typical Interior Window,Typical Interior Door,,,,Typical Interior Partition
90.1-2010,Warehouse,,No,Metal Building,Semiheated,Mass,Nonresidential,Metal Building,Semiheated,Typical Interior Wall,Typical Interior Floor,Typical Interior Ceiling,Mass,Nonresidential,Unheated,Semiheated,,Nonresidential,Metal framing (all other),Nonresidential,Metal framing (all other),Nonresidential,Swinging,Semiheated,,NonSwinging,Semiheated,Glass with Curb,Nonresidential,Typical Interior Window,Typical Interior Window,Typical Interior Window,Typical Interior Window,Typical Interior Door,,,,Typical Interior Partition
90.1-2010,Warehouse,Office,No,Metal Building,Nonresidential,Mass,Nonresidential,Metal Building,Nonresidential,Typical Interior Wall,Typical Interior Floor,Typical Interior Ceiling,Mass,Nonresidential,Unheated,Semiheated,,Nonresidential,Metal framing (all other),Nonresidential,Metal framing (all other),Nonresidential,Swinging,Semiheated,,NonSwinging,Semiheated,Glass with Curb,Nonresidential,Typical Interior Window,Typical Interior Window,Typical Interior Window,Typical Interior Window,Typical Interior Door,,,,Typical Interior Partition
90.1-2010,Warehouse,Fine,No,Metal Building,Nonresidential,Mass,Nonresidential,Metal Building,Nonresidential,Typical Interior Wall,Typical Interior Floor,Typical Interior Ceiling,Mass,Nonresidential,Unheated,Semiheated,,Nonresidential,Metal framing (all other),Nonresidential,Metal framing (all other),Nonresidential,Swinging,Semiheated,,NonSwinging,Semiheated,Glass with Curb,Nonresidential,Typical Interior Window,Typical Interior Window,Typical Interior Window,Typical Interior Window,Typical Interior Door,,,,Typical Interior Partition
90.1-2010,Warehouse,Bulk,No,Metal Building,Semiheated,Mass,Nonresidential,Metal Building,Semiheated,Typical Interior Wall,Typical Interior Floor,Typical Interior Ceiling,Mass,Semiheated,Unheated,Semiheated,,Semiheated,Metal framing (all other),Nonresidential,Metal framing (all other),Nonresidential,Swinging,Semiheated,,NonSwinging,Semiheated,Glass with Curb,Nonresidential,Typical Interior Window,Typical Interior Window,Typical Interior Window,Typical Interior Window,Typical Interior Door,,,,Typical Interior Partition
90.1-2013,SecondarySchool,,No,SteelFramed,Nonresidential,Mass,Nonresidential,IEAD,Nonresidential,Typical Interior Wall,Typical Interior Floor,Typical Interior Ceiling,Mass,Nonresidential,Unheated,Nonresidential,,Nonresidential,Metal framing (all other),Nonresidential,Metal framing (all other),Nonresidential,Swinging,Nonresidential,,NonSwinging,Nonresidential,Glass with Curb,Nonresidential,Typical Interior Window,Typical Interior Window,Typical Interior Window,Typical Interior Window,Typical Interior Door,,,,Typical Interior Partition
90.1-2010,SmallHotel,,Yes,SteelFramed,Residential,Mass,Residential,IEAD,Residential,int_wall_smallhotel,int_slab_floor_smallhotel,int_slab_ceiling_smallhotel,Mass,Residential,Unheated,Residential,,Residential,Metal framing (all other),Residential,Metal framing (all other),Residential,Swinging,Residential,,NonSwinging,Residential,Glass with Curb,Residential,Typical Interior Window,Typical Interior Window,Typical Interior Window,Typical Interior Window,Typical Interior Door,,,,Typical Interior Partition
90.1-2013,SmallHotel,,No,SteelFramed,Nonresidential,Mass,Nonresidential,IEAD,Nonresidential,int_wall_smallhotel,int_slab_floor_smallhotel,int_slab_ceiling_smallhotel,Mass,Nonresidential,Unheated,Nonresidential,,Nonresidential,Metal framing (all other),Nonresidential,Metal framing (all other),Nonresidential,Swinging,Nonresidential,,NonSwinging,Nonresidential,Glass with Curb,Nonresidential,Typical Interior Window,Typical Interior Window,Typical Interior Window,Typical Interior Window,Typical Interior Door,,,,Typical Interior Partition
90.1-2013,SmallHotel,,Yes,SteelFramed,Residential,Mass,Residential,IEAD,Residential,int_wall_smallhotel,int_slab_floor_smallhotel,int_slab_ceiling_smallhotel,Mass,Residential,Unheated,Residential,,Residential,Metal framing (all other),Residential,Metal framing (all other),Residential,Swinging,Residential,,NonSwinging,Residential,Glass with Curb,Residential,Typical Interior Window,Typical Interior Window,Typical Interior Window,Typical Interior Window,Typical Interior Door,,,,Typical Interior Partition
90.1-2013,StripMall,,No,SteelFramed,Nonresidential,Mass,Nonresidential,IEAD,Nonresidential,Typical Interior Wall,Typical Interior Floor,Typical Interior Ceiling,Mass,Nonresidential,Unheated,Nonresidential,,Nonresidential,Metal framing (all other),Nonresidential,Metal framing (all other),Nonresidential,Swinging,Nonresidential,U 0.60 SHGC 0.25 Dbl 2.5mm air,NonSwinging,Nonresidential,Glass with Curb,Nonresidential,Typical Interior Window,Typical Interior Window,Typical Interior Window,Typical Interior Window,Typical Interior Door,,,,Typical Interior Partition
90.1-2013,SuperMarket,,No,Mass,Nonresidential,Mass,Nonresidential,IEAD,Nonresidential,Typical Interior Wall,Typical Interior Floor,Typical Interior Ceiling,Mass,Nonresidential,Unheated,Nonresidential,,Nonresidential,Metal framing (all other),Nonresidential,Metal framing (all other),Nonresidential,Swinging,Nonresidential,,NonSwinging,Nonresidential,Glass with Curb,Nonresidential,Typical Interior Window,Typical Interior Window,Typical Interior Window,Typical Interior Window,Typical Interior Door,,,,Typical Interior Partition
90.1-2013,Warehouse,,No,Metal Building,Semiheated,Mass,Nonresidential,Metal Building,Semiheated,Typical Interior Wall,Typical Interior Floor,Typical Interior Ceiling,Mass,Nonresidential,Unheated,Semiheated,,Nonresidential,Metal framing (all other),Nonresidential,Metal framing (all other),Nonresidential,Swinging,Semiheated,,NonSwinging,Semiheated,Glass with Curb,Nonresidential,Typical Interior Window,Typical Interior Window,Typical Interior Window,Typical Interior Window,Typical Interior Door,,,,Typical Interior Partition
90.1-2013,Warehouse,Office,No,Metal Building,Nonresidential,Mass,Nonresidential,Metal Building,Nonresidential,Typical Interior Wall,Typical Interior Floor,Typical Interior Ceiling,Mass,Nonresidential,Unheated,Semiheated,,Nonresidential,Metal framing (all other),Nonresidential,Metal framing (all other),Nonresidential,Swinging,Semiheated,,NonSwinging,Semiheated,Glass with Curb,Nonresidential,Typical Interior Window,Typical Interior Window,Typical Interior Window,Typical Interior Window,Typical Interior Door,,,,Typical Interior Partition
90.1-2013,Warehouse,Fine,No,Metal Building,Nonresidential,Mass,Nonresidential,Metal Building,Nonresidential,Typical Interior Wall,Typical Interior Floor,Typical Interior Ceiling,Mass,Nonresidential,Unheated,Semiheated,,Nonresidential,Metal framing (all other),Nonresidential,Metal framing (all other),Nonresidential,Swinging,Semiheated,,NonSwinging,Semiheated,Glass with Curb,Nonresidential,Typical Interior Window,Typical Interior Window,Typical Interior Window,Typical Interior Window,Typical Interior Door,,,,Typical Interior Partition
90.1-2013,Warehouse,Bulk,No,Metal Building,Semiheated,Mass,Nonresidential,Metal Building,Semiheated,Typical Interior Wall,Typical Interior Floor,Typical Interior Ceiling,Mass,Semiheated,Unheated,Semiheated,,Semiheated,Metal framing (all other),Nonresidential,Metal framing (all other),Nonresidential,Swinging,Semiheated,,NonSwinging,Semiheated,Glass with Curb,Nonresidential,Typical Interior Window,Typical Interior Window,Typical Interior Window,Typical Interior Window,Typical Interior Door,,,,Typical Interior Partition
90.1-2013,,Attic,No,,Nonresidential,Mass,Nonresidential,Attic and Other,Nonresidential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NECB 2011,Office,,No,Mass,Nonresidential,Mass,Nonresidential,Metal Building,Nonresidential,Typical Interior Wall,Typical Interior Floor,Typical Interior Ceiling,Mass,Nonresidential,Unheated,Nonresidential,Mass,Nonresidential,Metal framing (all other),Nonresidential,Metal framing (all other),Nonresidential,Swinging,Nonresidential,U 0.35 SHGC 0.35 Dbl LoE (e2-.1) Tint 6mm/13mm Air,NonSwinging,Nonresidential,Glass with Curb,Nonresidential,Typical Interior Window,Typical Interior Window,Typical Interior Window,Typical Interior Window,Typical Interior Door,,,,Typical Interior Partition
NECB 2011,FullServiceRestaurant,,No,Mass,Nonresidential,Mass,Nonresidential,Metal Building,Nonresidential,Typical Interior Wall,Typical Interior Floor,Typical Interior Ceiling,Mass,Nonresidential,Unheated,Nonresidential,Mass,Nonresidential,Metal framing (all other),Nonresidential,Metal framing (all other),Nonresidential,Swinging,Nonresidential,U 0.35 SHGC 0.35 Dbl LoE (e2-.1) Tint 6mm/13mm Air,NonSwinging,Nonresidential,Glass with Curb,Nonresidential,Typical Interior Window,Typical Interior Window,Typical Interior Window,Typical Interior Window,Typical Interior Door,,,,Typical Interior Partition
NECB 2011,Hospital,,No,Mass,Nonresidential,Mass,Nonresidential,Metal Building,Nonresidential,Typical Interior Wall,Typical Interior Floor,Typical Interior Ceiling,Mass,Nonresidential,Unheated,Nonresidential,Mass,Nonresidential,Metal framing (all other),Nonresidential,Metal framing (all other),Nonresidential,Swinging,Nonresidential,U 0.35 SHGC 0.35 Dbl LoE (e2-.1) Tint 6mm/13mm Air,NonSwinging,Nonresidential,Glass with Curb,Nonresidential,Typical Interior Window,Typical Interior Window,Typical Interior Window,Typical Interior Window,Typical Interior Door,,,,Typical Interior Partition
NECB 2011,LargeHotel,,No,Mass,Nonresidential,Mass,Nonresidential,Metal Building,Nonresidential,Typical Interior Wall,Typical Interior Floor,Typical Interior Ceiling,Mass,Nonresidential,Unheated,Nonresidential,Mass,Nonresidential,Metal framing (all other),Nonresidential,Metal framing (all other),Nonresidential,Swinging,Nonresidential,U 0.35 SHGC 0.35 Dbl LoE (e2-.1) Tint 6mm/13mm Air,NonSwinging,Nonresidential,Glass with Curb,Nonresidential,Typical Interior Window,Typical Interior Window,Typical Interior Window,Typical Interior Window,Typical Interior Door,,,,Typical Interior Partition
NECB 2011,MidriseApartment,,No,Mass,Nonresidential,Mass,Nonresidential,Metal Building,Nonresidential,Typical Interior Wall,Typical Interior Floor,Typical Interior Ceiling,Mass,Nonresidential,Unheated,Nonresidential,Mass,Nonresidential,Metal framing (all other),Nonresidential,Metal framing (all other),Nonresidential,Swinging,Nonresidential,U 0.35 SHGC 0.35 Dbl LoE (e2-.1) Tint 6mm/13mm Air,NonSwinging,Nonresidential,Glass with Curb,Nonresidential,Typical Interior Window,Typical Interior Window,Typical Interior Window,Typical Interior Window,Typical Interior Door,,,,Typical Interior Partition
NECB 2011,HighriseApartment,,No,Mass,Nonresidential,Mass,Nonresidential,Metal Building,Nonresidential,Typical Interior Wall,Typical Interior Floor,Typical Interior Ceiling,Mass,Nonresidential,Unheated,Nonresidential,Mass,Nonresidential,Metal framing (all other),Nonresidential,Metal framing (all other),Nonresidential,Swinging,Nonresidential,U 0.35 SHGC 0.35 Dbl LoE (e2-.1) Tint 6mm/13mm Air,NonSwinging,Nonresidential,Glass with Curb,Nonresidential,Typical Interior Window,Typical Interior Window,Typical Interior Window,Typical Interior Window,Typical Interior Door,,,,Typical Interior Partition
NECB 2011,Large Office,,No,Mass,Nonresidential,Mass,Nonresidential,Metal Building,Nonresidential,Typical Interior Wall,Typical Interior Floor,Typical Interior Ceiling,Mass,Nonresidential,Unheated,Nonresidential,Mass,Nonresidential,Metal framing (all other),Nonresidential,Metal framing (all other),Nonresidential,Swinging,Nonresidential,U 0.35 SHGC 0.35 Dbl LoE (e2-.1) Tint 6mm/13mm Air,NonSwinging,Nonresidential,Glass with Curb,Nonresidential,Typical Interior Window,Typical Interior Window,Typical Interior Window,Typical Interior Window,Typical Interior Door,,,,Typical Interior Partition
NECB 2011,Outpatient,,No,Mass,Nonresidential,Mass,Nonresidential,Metal Building,Nonresidential,Typical Interior Wall,Typical Interior Floor,Typical Interior Ceiling,Mass,Nonresidential,Unheated,Nonresidential,Mass,Nonresidential,Metal framing (all other),Nonresidential,Metal framing (all other),Nonresidential,Swinging,Nonresidential,U 0.35 SHGC 0.35 Dbl LoE (e2-.1) Tint 6mm/13mm Air,NonSwinging,Nonresidential,Glass with Curb,Nonresidential,Typical Interior Window,Typical Interior Window,Typical Interior Window,Typical Interior Window,Typical Interior Door,,,,Typical Interior Partition
NECB 2011,PrimarySchool,,No,Mass,Nonresidential,Mass,Nonresidential,Metal Building,Nonresidential,Typical Interior Wall,Typical Interior Floor,Typical Interior Ceiling,Mass,Nonresidential,Unheated,Nonresidential,Mass,Nonresidential,Metal framing (all other),Nonresidential,Metal framing (all other),Nonresidential,Swinging,Nonresidential,U 0.35 SHGC 0.35 Dbl LoE (e2-.1) Tint 6mm/13mm Air,NonSwinging,Nonresidential,Glass with Curb,Nonresidential,Typical Interior Window,Typical Interior Window,Typical Interior Window,Typical Interior Window,Typical Interior Door,,,,Typical Interior Partition
NECB 2011,QuickServiceRestaurant,,No,Mass,Nonresidential,Mass,Nonresidential,Metal Building,Nonresidential,Typical Interior Wall,Typical Interior Floor,Typical Interior Ceiling,Mass,Nonresidential,Unheated,Nonresidential,Mass,Nonresidential,Metal framing (all other),Nonresidential,Metal framing (all other),Nonresidential,Swinging,Nonresidential,U 0.35 SHGC 0.35 Dbl LoE (e2-.1) Tint 6mm/13mm Air,NonSwinging,Nonresidential,Glass with Curb,Nonresidential,Typical Interior Window,Typical Interior Window,Typical Interior Window,Typical Interior Window,Typical Interior Door,,,,Typical Interior Partition
NECB 2011,Retail,,No,Mass,Nonresidential,Mass,Nonresidential,Metal Building,Nonresidential,Typical Interior Wall,Typical Interior Floor,Typical Interior Ceiling,Mass,Nonresidential,Unheated,Nonresidential,Mass,Nonresidential,Metal framing (all other),Nonresidential,Metal framing (all other),Nonresidential,Swinging,Nonresidential,U 0.35 SHGC 0.35 Dbl LoE (e2-.1) Tint 6mm/13mm Air,NonSwinging,Nonresidential,Glass with Curb,Nonresidential,Typical Interior Window,Typical Interior Window,Typical Interior Window,Typical Interior Window,Typical Interior Door,,,,Typical Interior Partition
NECB 2011,SecondarySchool,,No,Mass,Nonresidential,Mass,Nonresidential,Metal Building,Nonresidential,Typical Interior Wall,Typical Interior Floor,Typical Interior Ceiling,Mass,Nonresidential,Unheated,Nonresidential,Mass,Nonresidential,Metal framing (all other),Nonresidential,Metal framing (all other),Nonresidential,Swinging,Nonresidential,U 0.35 SHGC 0.35 Dbl LoE (e2-.1) Tint 6mm/13mm Air,NonSwinging,Nonresidential,Glass with Curb,Nonresidential,Typical Interior Window,Typical Interior Window,Typical Interior Window,Typical Interior Window,Typical Interior Door,,,,Typical Interior Partition
NECB 2011,SmallHotel,,No,Mass,Nonresidential,Mass,Nonresidential,Metal Building,Nonresidential,Typical Interior Wall,Typical Interior Floor,Typical Interior Ceiling,Mass,Nonresidential,Unheated,Nonresidential,Mass,Nonresidential,Metal framing (all other),Nonresidential,Metal framing (all other),Nonresidential,Swinging,Nonresidential,U 0.35 SHGC 0.35 Dbl LoE (e2-.1) Tint 6mm/13mm Air,NonSwinging,Nonresidential,Glass with Curb,Nonresidential,Typical Interior Window,Typical Interior Window,Typical Interior Window,Typical Interior Window,Typical Interior Door,,,,Typical Interior Partition
NECB 2011,StripMall,,No,Mass,Nonresidential,Mass,Nonresidential,Metal Building,Nonresidential,Typical Interior Wall,Typical Interior Floor,Typical Interior Ceiling,Mass,Nonresidential,Unheated,Nonresidential,Mass,Nonresidential,Metal framing (all other),Nonresidential,Metal framing (all other),Nonresidential,Swinging,Nonresidential,U 0.35 SHGC 0.35 Dbl LoE (e2-.1) Tint 6mm/13mm Air,NonSwinging,Nonresidential,Glass with Curb,Nonresidential,Typical Interior Window,Typical Interior Window,Typical Interior Window,Typical Interior Window,Typical Interior Door,,,,Typical Interior Partition
NECB 2011,SuperMarket,,No,Mass,Nonresidential,Mass,Nonresidential,Metal Building,Nonresidential,Typical Interior Wall,Typical Interior Floor,Typical Interior Ceiling,Mass,Nonresidential,Unheated,Nonresidential,Mass,Nonresidential,Metal framing (all other),Nonresidential,Metal framing (all other),Nonresidential,Swinging,Nonresidential,U 0.35 SHGC 0.35 Dbl LoE (e2-.1) Tint 6mm/13mm Air,NonSwinging,Nonresidential,Glass with Curb,Nonresidential,Typical Interior Window,Typical Interior Window,Typical Interior Window,Typical Interior Window,Typical Interior Door,,,,Typical Interior Partition
NECB 2011,Warehouse,,No,Mass,Nonresidential,Mass,Nonresidential,Metal Building,Nonresidential,Typical Interior Wall,Typical Interior Floor,Typical Interior Ceiling,Mass,Nonresidential,Unheated,Nonresidential,Mass,Nonresidential,Metal framing (all other),Nonresidential,Metal framing (all other),Nonresidential,Swinging,Nonresidential,U 0.35 SHGC 0.35 Dbl LoE (e2-.1) Tint 6mm/13mm Air,NonSwinging,Nonresidential,Glass with Curb,Nonresidential,Typical Interior Window,Typical Interior Window,Typical Interior Window,Typical Interior Window,Typical Interior Door,,,,Typical Interior Partition
NECB 2011,SmallOffice,,No,Mass,Nonresidential,Mass,Nonresidential,Metal Building,Nonresidential,Typical Interior Wall,Typical Interior Floor,Typical Interior Ceiling,Mass,Nonresidential,Unheated,Nonresidential,Mass,Nonresidential,Metal framing (all other),Nonresidential,Metal framing (all other),Nonresidential,Swinging,Nonresidential,U 0.35 SHGC 0.35 Dbl LoE (e2-.1) Tint 6mm/13mm Air,NonSwinging,Nonresidential,Glass with Curb,Nonresidential,Typical Interior Window,Typical Interior Window,Typical Interior Window,Typical Interior Window,Typical Interior Door,,,,Typical Interior Partition
NECB 2011,MediumOffice,,No,Mass,Nonresidential,Mass,Nonresidential,Metal Building,Nonresidential,Typical Interior Wall,Typical Interior Floor,Typical Interior Ceiling,Mass,Nonresidential,Unheated,Nonresidential,Mass,Nonresidential,Metal framing (all other),Nonresidential,Metal framing (all other),Nonresidential,Swinging,Nonresidential,U 0.35 SHGC 0.35 Dbl LoE (e2-.1) Tint 6mm/13mm Air,NonSwinging,Nonresidential,Glass with Curb,Nonresidential,Typical Interior Window,Typical Interior Window,Typical Interior Window,Typical Interior Window,Typical Interior Door,,,,Typical Interior Partition
NECB 2011,RetailStandalone,,No,Mass,Nonresidential,Mass,Nonresidential,Metal Building,Nonresidential,Typical Interior Wall,Typical Interior Floor,Typical Interior Ceiling,Mass,Nonresidential,Unheated,Nonresidential,Mass,Nonresidential,Metal framing (all other),Nonresidential,Metal framing (all other),Nonresidential,Swinging,Nonresidential,U 0.35 SHGC 0.35 Dbl LoE (e2-.1) Tint 6mm/13mm Air,NonSwinging,Nonresidential,Glass with Curb,Nonresidential,Typical Interior Window,Typical Interior Window,Typical Interior Window,Typical Interior Window,Typical Interior Door,,,,Typical Interior Partition
NECB 2011,RetailStripmall,,No,Mass,Nonresidential,Mass,Nonresidential,Metal Building,Nonresidential,Typical Interior Wall,Typical Interior Floor,Typical Interior Ceiling,Mass,Nonresidential,Unheated,Nonresidential,Mass,Nonresidential,Metal framing (all other),Nonresidential,Metal framing (all other),Nonresidential,Swinging,Nonresidential,U 0.35 SHGC 0.35 Dbl LoE (e2-.1) Tint 6mm/13mm Air,NonSwinging,Nonresidential,Glass with Curb,Nonresidential,Typical Interior Window,Typical Interior Window,Typical Interior Window,Typical Interior Window,Typical Interior Door,,,,Typical Interior Partition
ICC IECC 2015,MidriseApartment,,Yes,SteelFramed,Residential,Mass,Residential,IEAD,Residential,Typical Interior Wall,Typical Interior Floor,Typical Interior Ceiling,Mass,Residential,Unheated,Residential,,Residential,Metal framing (all other),Residential,Metal framing (all other),Residential,Swinging,Residential,,NonSwinging,Residential,Glass with Curb,Residential,Typical Interior Window,Typical Interior Window,Typical Interior Window,Typical Interior Window,Typical Interior Door,,,,Typical Interior Partition